Airlines,Flight Date,COVID Phase,Departure delay (Minutes),Delay Carrier (Minutes)_Dep,Delay Weather (Minutes)_Dep,Delay National Aviation System (Minutes)_Dep,Delay Security (Minutes)_Dep,Delay Late Aircraft Arrival (Minutes)_Dep,Total Flights_Dep,Cancelled Flights,Cancellation Rate (%),Arrival Delay (Minutes),Delay Carrier (Minutes)_Arr,Delay Weather (Minutes)_Arr,Delay National Aviation System (Minutes)_Arr,Delay Security (Minutes)_Arr,Delay Late Aircraft Arrival (Minutes)_Arr,Total Flights_Arr
Alaska Airlines,2018-02-07,Pre-COVID,-8.0,0,0,0,0,0,1,0.0,0.0,-24.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-08,Pre-COVID,1.0,0,0,32,0,0,1,0.0,0.0,-28.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-09,Pre-COVID,-15.0,0,0,0,0,0,1,0.0,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-10,Pre-COVID,-3.0,0,0,0,0,0,1,0.0,0.0,-19.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-11,Pre-COVID,-19.0,0,0,0,0,0,1,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-12,Pre-COVID,0.0,0,0,0,0,0,1,0.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,1.0
Alaska Airlines,2018-02-13,Pre-COVID,-12.0,0,0,0,0,0,1,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-14,Pre-COVID,-1.0,0,0,0,0,0,1,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-15,Pre-COVID,-6.0,0,0,0,0,0,1,0.0,0.0,-28.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-16,Pre-COVID,-5.0,0,0,0,0,0,1,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-17,Pre-COVID,-6.0,0,0,0,0,0,1,0.0,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-18,Pre-COVID,-9.0,0,0,0,0,0,1,0.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-19,Pre-COVID,-7.0,0,0,0,0,0,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-20,Pre-COVID,-4.0,0,0,0,0,0,1,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-21,Pre-COVID,75.0,40,0,0,0,0,1,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-22,Pre-COVID,17.0,0,0,0,0,0,1,0.0,0.0,44.0,14.0,0.0,30.0,0.0,0.0,1.0
Alaska Airlines,2018-02-23,Pre-COVID,-1.0,0,0,0,0,0,1,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-24,Pre-COVID,-7.0,0,0,0,0,0,1,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-25,Pre-COVID,-5.0,0,0,0,0,0,1,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-26,Pre-COVID,-2.0,0,0,0,0,0,1,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,1.0
Alaska Airlines,2018-02-27,Pre-COVID,-9.0,0,0,0,0,0,1,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,1.0
