Origin City,Airlines,COVID Phase,Avg Arrival Delay (min),Total Flights
"Denver, CO",Southwest Airlines,During-COVID,4.412884333821376,3415
"Denver, CO",Southwest Airlines,Post-COVID,9.543175050932456,6381
"Denver, CO",Southwest Airlines,Pre-COVID,4.231302339012417,3463
"Denver, CO",United Airlines,During-COVID,-0.5598086124401914,627
"Denver, CO",United Airlines,Post-COVID,5.538486416558862,3092
"Denver, CO",United Airlines,Pre-COVID,0.740072202166065,277
"Detroit, MI",Delta Airlines,During-COVID,-2.125128205128205,1950
"Detroit, MI",Delta Airlines,Post-COVID,-0.24248447204968945,4025
"Detroit, MI",Delta Airlines,Pre-COVID,-2.2608187134502926,3420
"Detroit, MI",Southwest Airlines,During-COVID,-5.373641304347826,1472
"Detroit, MI",Southwest Airlines,Post-COVID,0.48446917014371815,2157
"Detroit, MI",Southwest Airlines,Pre-COVID,0.8553583168967784,1521
"Detroit, MI",Spirit Airlines,Post-COVID,8.90967741935484,155
"Fort Lauderdale, FL",JetBlue Airways,During-COVID,8.848214285714286,448
"Fort Lauderdale, FL",JetBlue Airways,Post-COVID,21.348484848484848,726
"Fort Lauderdale, FL",JetBlue Airways,Pre-COVID,19.361783439490445,785
"Fort Lauderdale, FL",Southwest Airlines,During-COVID,-4.3826487845766975,2386
"Fort Lauderdale, FL",Southwest Airlines,Post-COVID,6.453057708871662,3483
"Fort Lauderdale, FL",Southwest Airlines,Pre-COVID,0.38703634319970026,2669
"Fort Lauderdale, FL",Spirit Airlines,During-COVID,0.6444073455759599,599
"Fort Lauderdale, FL",Spirit Airlines,Post-COVID,15.622801302931595,1535
"Fort Lauderdale, FL",Spirit Airlines,Pre-COVID,-2.5783132530120483,83
"Fort Myers, FL",Frontier Airlines,Pre-COVID,1.6573426573426573,143
"Fort Myers, FL",Southwest Airlines,During-COVID,1.7467889908256882,545
"Fort Myers, FL",Southwest Airlines,Post-COVID,5.651436993367723,1357
"Fort Myers, FL",Southwest Airlines,Pre-COVID,2.17687074829932,147
"Fort Myers, FL",Spirit Airlines,Post-COVID,4.67,100
"Grand Rapids, MI",Southwest Airlines,Post-COVID,16.82758620689655,29
"Greenville, SC",Southwest Airlines,Post-COVID,-0.8672985781990521,211
"Hartford, CT",Southwest Airlines,During-COVID,-2.77734375,256
"Hartford, CT",Southwest Airlines,Post-COVID,2.4940855323020927,1099
"Hayden, CO",Southwest Airlines,Post-COVID,7.514285714285714,35
"Houston, TX",Southwest Airlines,During-COVID,2.776219512195122,3280
"Houston, TX",Southwest Airlines,Post-COVID,2.711750470556601,7438
"Houston, TX",Southwest Airlines,Pre-COVID,3.811915483200554,2887
"Houston, TX",United Airlines,During-COVID,1.6375266524520256,469
"Houston, TX",United Airlines,Post-COVID,10.051857585139318,2584
"Houston, TX",United Airlines,Pre-COVID,4.8204158790170135,1058
"Jacksonville, FL",Southwest Airlines,During-COVID,-0.9370725034199726,1462
"Jacksonville, FL",Southwest Airlines,Post-COVID,0.5215465163109142,2483
"Jacksonville, FL",Southwest Airlines,Pre-COVID,1.0799595141700404,1976
"Kansas City, MO",Southwest Airlines,During-COVID,-2.056390977443609,1862
"Kansas City, MO",Southwest Airlines,Post-COVID,2.429953106682298,3412
"Kansas City, MO",Southwest Airlines,Pre-COVID,0.2087378640776699,2472
"Key West, FL",Delta Airlines,Post-COVID,-3.3333333333333335,3
"Las Vegas, NV",Delta Airlines,Pre-COVID,-4.0,2
"Las Vegas, NV",Frontier Airlines,During-COVID,4.863829787234042,235
"Las Vegas, NV",Frontier Airlines,Post-COVID,11.393406593406594,455
"Las Vegas, NV",Frontier Airlines,Pre-COVID,4.947368421052632,399
"Las Vegas, NV",Southwest Airlines,During-COVID,4.4878987898789875,1818
"Las Vegas, NV",Southwest Airlines,Post-COVID,7.3620819713351775,3977
"Las Vegas, NV",Southwest Airlines,Pre-COVID,2.184419014084507,2272
"Las Vegas, NV",Spirit Airlines,During-COVID,-3.9675324675324677,462
"Las Vegas, NV",Spirit Airlines,Post-COVID,9.105936073059361,1095
"Las Vegas, NV",Spirit Airlines,Pre-COVID,-10.853658536585366,82
"Long Beach, CA",Southwest Airlines,Post-COVID,-1.369620253164557,790
"Long Island, NY",Southwest Airlines,During-COVID,25.901408450704224,213
"Long Island, NY",Southwest Airlines,Post-COVID,4.323275862068965,464
"Los Angeles, CA",American Airlines,During-COVID,5.4582743988684586,707
"Los Angeles, CA",American Airlines,Post-COVID,19.518859245630175,1087
"Los Angeles, CA",American Airlines,Pre-COVID,1.2812702527543747,1543
"Los Angeles, CA",Delta Airlines,During-COVID,-5.446611909650924,974
"Los Angeles, CA",Delta Airlines,Post-COVID,-1.9815668202764978,2387
"Los Angeles, CA",Delta Airlines,Pre-COVID,-1.4507299270072993,1096
"Los Angeles, CA",Southwest Airlines,During-COVID,-2.127402135231317,1405
"Los Angeles, CA",Southwest Airlines,Post-COVID,4.0733549083063645,1854
"Los Angeles, CA",Southwest Airlines,Pre-COVID,-0.18186610437532946,1897
"Los Angeles, CA",Spirit Airlines,During-COVID,0.9939393939393939,495
"Los Angeles, CA",Spirit Airlines,Post-COVID,4.069258809234508,823
"Madison, WI",Delta Airlines,Pre-COVID,28.0,2
"Miami, FL",American Airlines,During-COVID,4.5,1094
"Miami, FL",American Airlines,Post-COVID,22.176332551123032,2983
"Miami, FL",American Airlines,Pre-COVID,10.836094158674804,1147
"Miami, FL",Southwest Airlines,During-COVID,0.5726351351351351,592
"Miami, FL",Southwest Airlines,Post-COVID,8.82670744138634,1962
"Miami, FL",Spirit Airlines,Post-COVID,13.233962264150943,265
"Milwaukee, WI",Southwest Airlines,During-COVID,-4.019216555801922,1353
"Milwaukee, WI",Southwest Airlines,Post-COVID,-0.673568281938326,2270
"Milwaukee, WI",Southwest Airlines,Pre-COVID,-0.9794871794871794,1365
"Minneapolis, MN",Delta Airlines,During-COVID,0.45622119815668205,868
"Minneapolis, MN",Delta Airlines,Post-COVID,1.2100118483412323,3376
"Minneapolis, MN",Delta Airlines,Pre-COVID,-3.690310322989234,1579
"Minneapolis, MN",Southwest Airlines,During-COVID,-3.5889908256880734,545
"Minneapolis, MN",Southwest Airlines,Post-COVID,0.611062335381914,1139
"Minneapolis, MN",Southwest Airlines,Pre-COVID,-0.52046783625731,855
"Myrtle Beach, SC",Southwest Airlines,During-COVID,-0.08783783783783784,444
"Myrtle Beach, SC",Southwest Airlines,Post-COVID,2.049469964664311,1981
"New Orleans, LA",Southwest Airlines,During-COVID,0.08621700879765395,1705
"New Orleans, LA",Southwest Airlines,Post-COVID,4.448559670781893,3402
"New Orleans, LA",Southwest Airlines,Pre-COVID,2.4488854727132976,2602
"New Orleans, LA",Spirit Airlines,During-COVID,-4.791666666666667,96
"New Orleans, LA",Spirit Airlines,Post-COVID,6.012658227848101,79
"New Orleans, LA",Spirit Airlines,Pre-COVID,-9.771084337349398,83
"New York, NY",American Airlines,During-COVID,2.3394495412844036,109
"New York, NY",American Airlines,Post-COVID,16.09257142857143,875
"New York, NY",American Airlines,Pre-COVID,-7.0,1
"New York, NY",Delta Airlines,During-COVID,-6.114285714285714,70
"New York, NY",Delta Airlines,Post-COVID,10.360493827160493,405
"New York, NY",JetBlue Airways,During-COVID,8.361623616236162,271
"New York, NY",JetBlue Airways,Post-COVID,14.070576540755468,3018
"New York, NY",Southwest Airlines,During-COVID,-9.386928860613072,1729
"New York, NY",Southwest Airlines,Post-COVID,1.7056878306878307,4536
"New York, NY",Southwest Airlines,Pre-COVID,-0.2963940193491645,2274
"New York, NY",Spirit Airlines,During-COVID,14.138075313807532,239
"New York, NY",Spirit Airlines,Post-COVID,-1.9728033472803348,478
"Newark, NJ",Southwest Airlines,Pre-COVID,0.23790322580645162,744
"Newark, NJ",Spirit Airlines,During-COVID,0.5128205128205128,273
"Newark, NJ",Spirit Airlines,Post-COVID,8.383603238866396,988
"Newark, NJ",United Airlines,During-COVID,4.322185061315496,897
"Newark, NJ",United Airlines,Post-COVID,10.467462832074093,4103
"Newark, NJ",United Airlines,Pre-COVID,9.952751817237798,1926
"Norfolk, VA",Southwest Airlines,During-COVID,7.923766816143497,446
"Norfolk, VA",Southwest Airlines,Post-COVID,5.803571428571429,1176
"Norfolk, VA",Southwest Airlines,Pre-COVID,-2.38,50
"Oakland, CA",Southwest Airlines,During-COVID,-0.0521415270018622,537
"Oakland, CA",Southwest Airlines,Post-COVID,-2.638253638253638,481
"Oakland, CA",Southwest Airlines,Pre-COVID,5.82054794520548,730
"Oklahoma City, OK",Southwest Airlines,During-COVID,-7.315950920245399,326
"Oklahoma City, OK",Southwest Airlines,Post-COVID,5.496688741721854,302
"Oklahoma City, OK",Southwest Airlines,Pre-COVID,3.7866666666666666,75
"Omaha, NE",Southwest Airlines,During-COVID,-8.733333333333333,45
"Omaha, NE",Southwest Airlines,Post-COVID,-3.0272108843537415,294
"Omaha, NE",Southwest Airlines,Pre-COVID,12.192307692307692,26
"Ontario, CA",Southwest Airlines,Post-COVID,-0.6096256684491979,187
"Orlando, FL",Frontier Airlines,During-COVID,3.7225,400
"Orlando, FL",Frontier Airlines,Post-COVID,16.775956284153004,366
"Orlando, FL",Frontier Airlines,Pre-COVID,14.624737945492662,477
"Orlando, FL",Southwest Airlines,During-COVID,0.13678581480439064,3553
"Orlando, FL",Southwest Airlines,Post-COVID,8.972491349480968,5780
"Orlando, FL",Southwest Airlines,Pre-COVID,5.02262180974478,3448
"Orlando, FL",Spirit Airlines,During-COVID,7.157643312101911,628
"Orlando, FL",Spirit Airlines,Post-COVID,12.099840255591054,2504
