Destination City,Airlines,COVID Phase,Avg Departure Delay (min),Total Flights
"Los Angeles, CA",Southwest Airlines,Pre-COVID,11.401618614061709,1977
"Los Angeles, CA",Spirit Airlines,During-COVID,9.214859437751004,498
"Los Angeles, CA",Spirit Airlines,Post-COVID,14.20388349514563,824
"Madison, WI",Delta Airlines,Pre-COVID,-6.5,2
"Miami, FL",American Airlines,During-COVID,9.084018264840182,1095
"Miami, FL",American Airlines,Post-COVID,18.736683417085427,2985
"Miami, FL",American Airlines,Pre-COVID,9.706550218340611,1145
"Miami, FL",Southwest Airlines,During-COVID,12.468802698145025,593
"Miami, FL",Southwest Airlines,Post-COVID,14.069709127382147,1994
"Miami, FL",Spirit Airlines,Post-COVID,20.569811320754717,265
"Milwaukee, WI",Delta Airlines,Post-COVID,-13.0,1
"Milwaukee, WI",Southwest Airlines,During-COVID,6.487562189054726,1407
"Milwaukee, WI",Southwest Airlines,Post-COVID,12.073159982371088,2269
"Milwaukee, WI",Southwest Airlines,Pre-COVID,7.967930029154519,1372
"Minneapolis, MN",Delta Airlines,During-COVID,0.6232718894009217,868
"Minneapolis, MN",Delta Airlines,Post-COVID,6.42239336492891,3376
"Minneapolis, MN",Delta Airlines,Pre-COVID,2.1376089663760895,1606
"Minneapolis, MN",Southwest Airlines,During-COVID,7.835766423357664,548
"Minneapolis, MN",Southwest Airlines,Post-COVID,11.407732864674868,1138
"Minneapolis, MN",Southwest Airlines,Pre-COVID,11.557603686635945,868
"Myrtle Beach, SC",Southwest Airlines,During-COVID,9.229213483146067,445
"Myrtle Beach, SC",Southwest Airlines,Post-COVID,9.830978809283552,1982
"New Orleans, LA",Southwest Airlines,During-COVID,5.321365509123013,1699
"New Orleans, LA",Southwest Airlines,Post-COVID,10.375513799177922,3406
"New Orleans, LA",Southwest Airlines,Pre-COVID,9.72369446609509,2566
"New Orleans, LA",Spirit Airlines,During-COVID,4.177083333333333,96
"New Orleans, LA",Spirit Airlines,Post-COVID,8.49367088607595,79
"New Orleans, LA",Spirit Airlines,Pre-COVID,-1.3734939759036144,83
"New York, NY",American Airlines,During-COVID,10.559633027522937,109
"New York, NY",American Airlines,Post-COVID,19.329519450800916,874
"New York, NY",American Airlines,Pre-COVID,20.0,1
"New York, NY",Delta Airlines,During-COVID,4.115942028985507,69
"New York, NY",Delta Airlines,Post-COVID,9.019753086419753,405
"New York, NY",JetBlue Airways,During-COVID,22.535055350553506,271
"New York, NY",JetBlue Airways,Post-COVID,24.11501491547895,3017
"New York, NY",Southwest Airlines,During-COVID,7.108670520231214,1730
"New York, NY",Southwest Airlines,Post-COVID,11.894122826326216,4543
"New York, NY",Southwest Airlines,Pre-COVID,14.026385224274406,2274
"New York, NY",Spirit Airlines,During-COVID,8.608333333333333,240
"New York, NY",Spirit Airlines,Post-COVID,11.423480083857442,477
"Newark, NJ",Southwest Airlines,Pre-COVID,28.525815217391305,736
"Newark, NJ",Spirit Airlines,During-COVID,3.360294117647059,272
"Newark, NJ",Spirit Airlines,Post-COVID,19.914141414141415,990
"Newark, NJ",United Airlines,During-COVID,5.732919254658385,966
"Newark, NJ",United Airlines,Post-COVID,14.414814814814815,4185
"Newark, NJ",United Airlines,Pre-COVID,22.809110629067245,1844
"Norfolk, VA",Southwest Airlines,During-COVID,9.113839285714286,448
"Norfolk, VA",Southwest Airlines,Post-COVID,8.065989847715736,1182
"Norfolk, VA",Southwest Airlines,Pre-COVID,7.254545454545455,55
"Oakland, CA",Southwest Airlines,During-COVID,9.577861163227016,533
"Oakland, CA",Southwest Airlines,Post-COVID,24.607723577235774,492
"Oakland, CA",Southwest Airlines,Pre-COVID,9.072972972972973,740
"Oklahoma City, OK",Southwest Airlines,During-COVID,1.2634920634920634,315
"Oklahoma City, OK",Southwest Airlines,Post-COVID,10.281456953642385,302
"Oklahoma City, OK",Southwest Airlines,Pre-COVID,6.413333333333333,75
"Omaha, NE",Southwest Airlines,During-COVID,5.955555555555556,45
"Omaha, NE",Southwest Airlines,Post-COVID,5.299003322259137,301
"Omaha, NE",Southwest Airlines,Pre-COVID,11.307692307692308,26
"Ontario, CA",Southwest Airlines,Post-COVID,9.197860962566844,187
"Orlando, FL",Frontier Airlines,During-COVID,5.775,400
"Orlando, FL",Frontier Airlines,Post-COVID,20.375342465753423,365
"Orlando, FL",Frontier Airlines,Pre-COVID,18.244769874476987,478
"Orlando, FL",Southwest Airlines,During-COVID,6.740823136818688,3596
"Orlando, FL",Southwest Airlines,Post-COVID,11.595258546641471,5821
"Orlando, FL",Southwest Airlines,Pre-COVID,10.911278631487388,3449
"Orlando, FL",Spirit Airlines,During-COVID,9.728867623604465,627
"Orlando, FL",Spirit Airlines,Post-COVID,23.669728434504794,2504
"Orlando, FL",Spirit Airlines,Pre-COVID,2.8902439024390243,82
"Panama City, FL",Southwest Airlines,During-COVID,7.409368635437882,1964
"Panama City, FL",Southwest Airlines,Post-COVID,9.88584161810079,2917
"Panama City, FL",Southwest Airlines,Pre-COVID,10.202970297029703,1616
"Pensacola, FL",Southwest Airlines,During-COVID,6.358108108108108,1480
"Pensacola, FL",Southwest Airlines,Post-COVID,11.296389588581023,2382
"Pensacola, FL",Southwest Airlines,Pre-COVID,10.82945205479452,1460
"Philadelphia, PA",American Airlines,During-COVID,1.509090909090909,550
"Philadelphia, PA",American Airlines,Post-COVID,15.765853658536585,2255
"Philadelphia, PA",American Airlines,Pre-COVID,7.93180482069371,1701
"Philadelphia, PA",Frontier Airlines,During-COVID,8.104477611940299,201
"Philadelphia, PA",Frontier Airlines,Post-COVID,17.842778793418645,547
"Philadelphia, PA",Frontier Airlines,Pre-COVID,11.954983922829582,311
"Philadelphia, PA",Southwest Airlines,During-COVID,8.431224209078405,1454
"Philadelphia, PA",Southwest Airlines,Post-COVID,14.031058617672791,2286
"Philadelphia, PA",Southwest Airlines,Pre-COVID,11.525751072961373,1864
"Philadelphia, PA",Spirit Airlines,Post-COVID,16.629714285714286,875
"Phoenix, AZ",American Airlines,During-COVID,20.658730158730158,378
"Phoenix, AZ",American Airlines,Post-COVID,14.954623287671232,1168
"Phoenix, AZ",Frontier Airlines,Post-COVID,6.666666666666667,183
"Phoenix, AZ",Southwest Airlines,During-COVID,5.016256938937351,2522
"Phoenix, AZ",Southwest Airlines,Post-COVID,12.191769015298426,4641
"Phoenix, AZ",Southwest Airlines,Pre-COVID,9.199570815450643,2330
"Pittsburgh, PA",Southwest Airlines,During-COVID,7.70518266779949,1177
"Pittsburgh, PA",Southwest Airlines,Post-COVID,10.535953550692273,2239
"Pittsburgh, PA",Southwest Airlines,Pre-COVID,9.609697933227345,1258
"Portland, ME",Southwest Airlines,Post-COVID,5.396694214876033,121
"Portland, OR",Alaska Airlines,Post-COVID,1.4828767123287672,292
"Raleigh-Durham, NC",American Airlines,During-COVID,-5.7615384615384615,130
"Raleigh-Durham, NC",Southwest Airlines,During-COVID,8.071693448702101,1618
"Raleigh-Durham, NC",Southwest Airlines,Post-COVID,12.556982872200264,3036
"Raleigh-Durham, NC",Southwest Airlines,Pre-COVID,10.314713896457766,2202
"Richmond, VA",Southwest Airlines,Post-COVID,7.233333333333333,210
"Sacramento, CA",Southwest Airlines,Post-COVID,16.37121212121212,264
"Sacramento, CA",Southwest Airlines,Pre-COVID,0.7333333333333333,30
"Salt Lake City, UT",Delta Airlines,During-COVID,1.880424300867888,1037
"Salt Lake City, UT",Delta Airlines,Post-COVID,3.653914590747331,2248
"Salt Lake City, UT",Delta Airlines,Pre-COVID,9.814726840855107,842
"Salt Lake City, UT",Southwest Airlines,During-COVID,5.176470588235294,187
"Salt Lake City, UT",Southwest Airlines,Post-COVID,10.765765765765765,222
"Salt Lake City, UT",Spirit Airlines,Post-COVID,4.0,1
"San Antonio, TX",Southwest Airlines,During-COVID,7.465661641541039,1194
"San Antonio, TX",Southwest Airlines,Post-COVID,10.06313834726091,2154
"San Antonio, TX",Southwest Airlines,Pre-COVID,10.030368763557483,1383
"San Diego, CA",Southwest Airlines,During-COVID,7.106870229007634,917
"San Diego, CA",Southwest Airlines,Post-COVID,13.463220675944333,2012
"San Diego, CA",Southwest Airlines,Pre-COVID,10.883756735950731,1299
"San Francisco, CA",Alaska Airlines,Pre-COVID,17.438687392055268,579
"San Francisco, CA",United Airlines,During-COVID,14.840531561461795,301
"San Francisco, CA",United Airlines,Post-COVID,20.21639950678175,1622
"San Francisco, CA",United Airlines,Pre-COVID,24.637269938650306,1304
"San Jose, CA",Southwest Airlines,During-COVID,7.156177156177156,429
"San Jose, CA",Southwest Airlines,Post-COVID,14.370192307692308,624
"San Jose, CA",Southwest Airlines,Pre-COVID,7.7444444444444445,180
"San Juan, PR",Southwest Airlines,During-COVID,14.454545454545455,33
"San Juan, PR",Southwest Airlines,Post-COVID,9.704545454545455,132
"Santa Ana, CA",Southwest Airlines,During-COVID,11.28804347826087,368
"Santa Ana, CA",Southwest Airlines,Post-COVID,12.130952380952381,504
"Sarasota, FL",Southwest Airlines,During-COVID,14.796557120500783,639
"Sarasota, FL",Southwest Airlines,Post-COVID,8.301928374655647,1815
"Savannah, GA",Southwest Airlines,During-COVID,7.645161290322581,341
"Savannah, GA",Southwest Airlines,Post-COVID,6.024984765386959,1641
"Seattle, WA",Alaska Airlines,During-COVID,3.826424870466321,1158
"Seattle, WA",Alaska Airlines,Post-COVID,9.954285714285714,2450
"Seattle, WA",Alaska Airlines,Pre-COVID,4.63197729422895,1057
"Seattle, WA",Delta Airlines,During-COVID,2.588235294117647,510
"Seattle, WA",Delta Airlines,Post-COVID,2.670955882352941,1088
"Seattle, WA",Delta Airlines,Pre-COVID,1.7893939393939393,660
"Seattle, WA",Southwest Airlines,During-COVID,17.516129032258064,124
"Seattle, WA",Southwest Airlines,Post-COVID,7.230769230769231,26
"Seattle, WA",Southwest Airlines,Pre-COVID,16.48951048951049,143
"St Louis, MO",Southwest Airlines,During-COVID,4.085106382978723,1974
"St Louis, MO",Southwest Airlines,Post-COVID,9.205086136177194,3657
"St Louis, MO",Southwest Airlines,Pre-COVID,8.93297190734352,2029
"Tampa, FL",Frontier Airlines,Pre-COVID,-1.5,20
"Tampa, FL",Southwest Airlines,During-COVID,6.359910913140312,2245
"Tampa, FL",Southwest Airlines,Post-COVID,12.049284928492849,4545
"Tampa, FL",Southwest Airlines,Pre-COVID,11.296422487223168,2935
"Tampa, FL",Spirit Airlines,During-COVID,-1.9083969465648856,131
"Tampa, FL",Spirit Airlines,Post-COVID,23.05,20
"Tampa, FL",Spirit Airlines,Pre-COVID,-2.25,56
"Trenton, NJ",Frontier Airlines,Pre-COVID,30.022935779816514,218
"Valparaiso, FL",Southwest Airlines,During-COVID,11.290611028315947,671
"Valparaiso, FL",Southwest Airlines,Post-COVID,9.653891742394311,2531
"Washington, DC",American Airlines,During-COVID,7.306451612903226,62
"Washington, DC",American Airlines,Post-COVID,11.526166902404526,707
"Washington, DC",American Airlines,Pre-COVID,15.455357142857142,112
"Washington, DC",Southwest Airlines,During-COVID,6.299912434325744,2284
"Washington, DC",Southwest Airlines,Post-COVID,9.491161012900143,4186
"Washington, DC",Southwest Airlines,Pre-COVID,10.063686708860759,2528
"Washington, DC",United Airlines,During-COVID,-1.5663716814159292,113
"Washington, DC",United Airlines,Post-COVID,9.680396039603961,2525
"Washington, DC",United Airlines,Pre-COVID,15.658788774002954,677
"West Palm Beach, FL",Southwest Airlines,During-COVID,3.28125,32
